Field (T)	Resistance (Ohms)
-980.4598	2359891
-982.1301	2356692
-983.8729	2356107
-985.4705	2362387
-987.3344	2360371
-989.0773	2358487
-990.6628	2362409
-992.4299	2353440
-993.9913	2360231
-995.8309	2359745
-997.5617	2357485
-999.1351	2360407
-999.5466	2359800
-999.6313	2358391
-1023.789	2353927
-1057.085	2357317
-1091.144	2356972
-1125.253	2354140
-1159.247	2354686
-1193.276	2355312
-1227.193	2355399
-1261.155	2356363
-1295.31	2355903
-1329.224	2356406
-1363.225	2357929
-1397.247	2351853
-1431.162	2353089
-1465.16	2349534
-1499.193	2352755
-1533.198	2347895
-1567.049	2351402
-1601.03	2351548
-1635.001	2348558
-1669.071	2350536
-1703.112	2349997
-1736.862	2347452
-1771.013	2348016
-1804.662	2350047
-1838.642	2345765
-1872.711	2349886
-1906.664	2349955
-1940.588	2350802
-1957.01	2355782
-1973.979	2354724
-1990.972	2341926
-1999.553	2341877
-1999.553	2348126
-1973.464	2348860
-1939.52	2348788
